#
#  Mapping of v3 names to v4 names
#
#  This file is used by the upgrade tool.
#
3Com-Connect_Id                         	Vendor-Specific.3com.Connect_Id
3GPP2-Reverse-Traffic-Type              	Vendor-Specific.3GPP2.Reverse-Traffic-Type
3GPP2-Reverse-Tunnel-Spec               	Vendor-Specific.3GPP2.Reverse-Tunnel-Spec
3GPP2-S-Key                             	Vendor-Specific.3GPP2.S-Key
3GPP2-S-Lifetime                        	Vendor-Specific.3GPP2.S-Lifetime
3GPP2-S-Request                         	Vendor-Specific.3GPP2.S-Request
3GPP2-Security-Level                    	Vendor-Specific.3GPP2.Security-Level
3GPP2-Service-Option                    	Vendor-Specific.3GPP2.Service-Option
3GPP2-Service-Option-Profile-Option     	Vendor-Specific.3GPP2.Service-Option-Profile.Option
3GPP2-Service-Reference-Id-Value        	Vendor-Specific.3GPP2.Service-Reference-Id.Value
3GPP2-Service-Reference-Main-SC-Indicator	Vendor-Specific.3GPP2.Service-Reference-Id.Main-SC-Indicator
3GPP2-Session-Continue                  	Vendor-Specific.3GPP2.Session-Continue
3GPP2-Session-Termination-Capability    	Vendor-Specific.3GPP2.Session-Termination-Capability
3GPP2-Terminating-Number-SDBs           	Vendor-Specific.3GPP2.Terminating-Number-SDBs
3GPP2-Terminating-SDB-Octet-Count       	Vendor-Specific.3GPP2.Terminating-SDB-Octet-Count
3GPP2-User-Id                           	Vendor-Specific.3GPP2.User-Id
AAT-ATM-Direct                          	Vendor-Specific.Alcatel.ATM-Direct
AAT-ATM-Traffic-Profile                 	Vendor-Specific.Alcatel.ATM-Traffic-Profile
AAT-ATM-VCI                             	Vendor-Specific.Alcatel.ATM-VCI
AAT-ATM-VPI                             	Vendor-Specific.Alcatel.ATM-VPI
AAT-Assign-IP-Pool                      	Vendor-Specific.Alcatel.Assign-IP-Pool
AAT-Auth-Type                           	Vendor-Specific.Alcatel.Auth-Type
AAT-Client-Assign-DNS                   	Vendor-Specific.Alcatel.Client-Assign-DNS
AAT-Client-Primary-DNS                  	Vendor-Specific.Alcatel.Client-Primary-DNS
AAT-Client-Primary-WINS-NBNS            	Vendor-Specific.Alcatel.Client-Primary-WINS-NBNS
AAT-Client-Secondary-DNS                	Vendor-Specific.Alcatel.Client-Secondary-DNS
AAT-Client-Secondary-WINS-NBNS          	Vendor-Specific.Alcatel.Client-Secondary-WINS-NBNS
AAT-Data-Filter                         	Vendor-Specific.Alcatel.Data-Filter
AAT-FR-Direct                           	Vendor-Specific.Alcatel.FR-Direct
AAT-FR-Direct-DLCI                      	Vendor-Specific.Alcatel.FR-Direct-DLCI
AAT-FR-Direct-Profile                   	Vendor-Specific.Alcatel.FR-Direct-Profile
AAT-Filter                              	Vendor-Specific.Alcatel.Filter
AAT-Home-Agent-Password                 	Vendor-Specific.Alcatel.Home-Agent-Password
AAT-Home-Agent-UDP-Port                 	Vendor-Specific.Alcatel.Home-Agent-UDP-Port
AAT-Home-Network-Name                   	Vendor-Specific.Alcatel.Home-Network-Name
AAT-IP-Direct                           	Vendor-Specific.Alcatel.IP-Direct
AAT-IP-Pool-Definition                  	Vendor-Specific.Alcatel.IP-Pool-Definition
AAT-IP-TOS                              	Vendor-Specific.Alcatel.IP-TOS
AAT-IP-TOS-Apply-To                     	Vendor-Specific.Alcatel.IP-TOS-Apply-To
AAT-IP-TOS-Precedence                   	Vendor-Specific.Alcatel.IP-TOS-Precedence
AAT-Input-Octets-Diff                   	Vendor-Specific.Alcatel.Input-Octets-Diff
AAT-MCast-Client                        	Vendor-Specific.Alcatel.MCast-Client
AAT-Modem-Answer-String                 	Vendor-Specific.Alcatel.Modem-Answer-String
AAT-Modem-Port-No                       	Vendor-Specific.Alcatel.Modem-Port-No
AAT-Modem-Shelf-No                      	Vendor-Specific.Alcatel.Modem-Shelf-No
AAT-Modem-Slot-No                       	Vendor-Specific.Alcatel.Modem-Slot-No
AAT-Output-Octets-Diff                  	Vendor-Specific.Alcatel.Output-Octets-Diff
AAT-PPP-Address                         	Vendor-Specific.Alcatel.PPP-Address
AAT-PPP-Netmask                         	Vendor-Specific.Alcatel.PPP-Netmask
AAT-Primary-Home-Agent                  	Vendor-Specific.Alcatel.Primary-Home-Agent
AAT-Qoa                                 	Vendor-Specific.Alcatel.Qoa
AAT-Qos                                 	Vendor-Specific.Alcatel.Qos
AAT-Require-Auth                        	Vendor-Specific.Alcatel.Require-Auth
AAT-Secondary-Home-Agent                	Vendor-Specific.Alcatel.Secondary-Home-Agent
AAT-Source-IP-Check                     	Vendor-Specific.Alcatel.Source-IP-Check
AAT-User-MAC-Address                    	Vendor-Specific.Alcatel.User-MAC-Address
AAT-Vrouter-Name                        	Vendor-Specific.Alcatel.Vrouter-Name
ACL-Auth-Level                          	Vendor-Specific.AudioCodes.ACL-Auth-Level
ACL-Definition                          	Vendor-Specific.Ericsson-AB.ACL-Definition
ALU-AAA-AKA-AUTS                        	Vendor-Specific.ALU-AAA.AKA-AUTS
ALU-AAA-AKA-Quintet                     	Vendor-Specific.ALU-AAA.AKA-Quintet
ALU-AAA-AKA-Quintets-Needed             	Vendor-Specific.ALU-AAA.AKA-Quintets-Needed
ALU-AAA-AKA-RAND                        	Vendor-Specific.ALU-AAA.AKA-RAND
ALU-AAA-AV-Pair                         	Vendor-Specific.ALU-AAA.AV-Pair
ALU-AAA-Access-Rule                     	Vendor-Specific.ALU-AAA.Access-Rule
ALU-AAA-Address-0                       	Vendor-Specific.ALU-AAA.Address-0
ALU-AAA-Address-1                       	Vendor-Specific.ALU-AAA.Address-1
ALU-AAA-Address-2                       	Vendor-Specific.ALU-AAA.Address-2
ALU-AAA-Address-3                       	Vendor-Specific.ALU-AAA.Address-3
ALU-AAA-Called-Station-Id               	Vendor-Specific.ALU-AAA.Called-Station-Id
ALU-AAA-Civic-Location                  	Vendor-Specific.ALU-AAA.Civic-Location
ALU-AAA-Client-Error-Action             	Vendor-Specific.ALU-AAA.Client-Error-Action
ALU-AAA-Client-OS                       	Vendor-Specific.ALU-AAA.Client-OS
ALU-AAA-Client-Program                  	Vendor-Specific.ALU-AAA.Client-Program
ALU-AAA-Client-Version                  	Vendor-Specific.ALU-AAA.Client-Version
ALU-AAA-DF-CC-Address                   	Vendor-Specific.ALU-AAA.DF-CC-Address
ALU-AAA-DF-CC-Port                      	Vendor-Specific.ALU-AAA.DF-CC-Port
ALU-AAA-Delta-Session                   	Vendor-Specific.ALU-AAA.Delta-Session
ALU-AAA-Eval-0                          	Vendor-Specific.ALU-AAA.Eval-0
ALU-AAA-Eval-1                          	Vendor-Specific.ALU-AAA.Eval-1
ALU-AAA-Eval-2                          	Vendor-Specific.ALU-AAA.Eval-2
ALU-AAA-Eval-3                          	Vendor-Specific.ALU-AAA.Eval-3
ALU-AAA-Event                           	Vendor-Specific.ALU-AAA.Event
ALU-AAA-Exec-0                          	Vendor-Specific.ALU-AAA.Exec-0
ALU-AAA-Exec-1                          	Vendor-Specific.ALU-AAA.Exec-1
ALU-AAA-Exec-2                          	Vendor-Specific.ALU-AAA.Exec-2
ALU-AAA-Exec-3                          	Vendor-Specific.ALU-AAA.Exec-3
ALU-AAA-Femto-Associated-User-Name      	Vendor-Specific.ALU-AAA.Femto-Associated-User-Name
ALU-AAA-Femto-Public-Key-Hash           	Vendor-Specific.ALU-AAA.Femto-Public-Key-Hash
ALU-AAA-GSM-Triplet                     	Vendor-Specific.ALU-AAA.GSM-Triplet
ALU-AAA-GSM-Triplets-Needed             	Vendor-Specific.ALU-AAA.GSM-Triplets-Needed
ALU-AAA-Geospatial-Location             	Vendor-Specific.ALU-AAA.Geospatial-Location
ALU-AAA-Integer-0                       	Vendor-Specific.ALU-AAA.Integer-0
ALU-AAA-Integer-1                       	Vendor-Specific.ALU-AAA.Integer-1
ALU-AAA-Integer-2                       	Vendor-Specific.ALU-AAA.Integer-2
ALU-AAA-Integer-3                       	Vendor-Specific.ALU-AAA.Integer-3
ALU-AAA-Key-0                           	Vendor-Specific.ALU-AAA.Key-0
ALU-AAA-Key-1                           	Vendor-Specific.ALU-AAA.Key-1
ALU-AAA-Key-2                           	Vendor-Specific.ALU-AAA.Key-2
ALU-AAA-Key-3                           	Vendor-Specific.ALU-AAA.Key-3
ALU-AAA-Lawful-Intercept-Status         	Vendor-Specific.ALU-AAA.Lawful-Intercept-Status
ALU-AAA-NAS-IP-Address                  	Vendor-Specific.ALU-AAA.NAS-IP-Address
ALU-AAA-NAS-Port                        	Vendor-Specific.ALU-AAA.NAS-Port
ALU-AAA-New-State                       	Vendor-Specific.ALU-AAA.New-State
ALU-AAA-New-Timestamp                   	Vendor-Specific.ALU-AAA.New-Timestamp
ALU-AAA-Nonce                           	Vendor-Specific.ALU-AAA.Nonce
ALU-AAA-Old-State                       	Vendor-Specific.ALU-AAA.Old-State
ALU-AAA-Old-Timestamp                   	Vendor-Specific.ALU-AAA.Old-Timestamp
ALU-AAA-Opaque-0                        	Vendor-Specific.ALU-AAA.Opaque-0
ALU-AAA-Opaque-1                        	Vendor-Specific.ALU-AAA.Opaque-1
ALU-AAA-Opaque-2                        	Vendor-Specific.ALU-AAA.Opaque-2
ALU-AAA-Opaque-3                        	Vendor-Specific.ALU-AAA.Opaque-3
ALU-AAA-Original-Receipt-Time           	Vendor-Specific.ALU-AAA.Original-Receipt-Time
ALU-AAA-Reply-Message                   	Vendor-Specific.ALU-AAA.Reply-Message
ALU-AAA-Service-Profile                 	Vendor-Specific.ALU-AAA.Service-Profile
ALU-AAA-String-0                        	Vendor-Specific.ALU-AAA.String-0
ALU-AAA-String-1                        	Vendor-Specific.ALU-AAA.String-1
ALU-AAA-String-2                        	Vendor-Specific.ALU-AAA.String-2
ALU-AAA-String-3                        	Vendor-Specific.ALU-AAA.String-3
ALU-AAA-Value-0                         	Vendor-Specific.ALU-AAA.Value-0
ALU-AAA-Value-1                         	Vendor-Specific.ALU-AAA.Value-1
ALU-AAA-Value-2                         	Vendor-Specific.ALU-AAA.Value-2
ALU-AAA-Value-3                         	Vendor-Specific.ALU-AAA.Value-3
AM-HTTP-Proxy-Port                      	Vendor-Specific.IEA-Software.AM-HTTP-Proxy-Port
AM-Interrupt-HTMLFile                   	Vendor-Specific.IEA-Software.AM-Interrupt-HTMLFile
AM-Interrupt-Interval                   	Vendor-Specific.IEA-Software.AM-Interrupt-Interval
AM-Interrupt-Timeout                    	Vendor-Specific.IEA-Software.AM-Interrupt-Timeout
AM-Status-HTMLFile                      	Vendor-Specific.IEA-Software.AM-Status-HTMLFile
APC-ACCPX-Access1                       	Vendor-Specific.APC.ACCPX-Access1
APC-ACCPX-Access2                       	Vendor-Specific.APC.ACCPX-Access2
APC-ACCPX-Access3                       	Vendor-Specific.APC.ACCPX-Access3
APC-ACCPX-Access4                       	Vendor-Specific.APC.ACCPX-Access4
APC-ACCPX-Access5                       	Vendor-Specific.APC.ACCPX-Access5
APC-ACCPX-Access6                       	Vendor-Specific.APC.ACCPX-Access6
APC-ACCPX-Access7                       	Vendor-Specific.APC.ACCPX-Access7
APC-ACCPX-Doors                         	Vendor-Specific.APC.ACCPX-Doors
APC-ACCPX-Status                        	Vendor-Specific.APC.ACCPX-Status
APC-Contact                             	Vendor-Specific.APC.Contact
APC-Outlets                             	Vendor-Specific.APC.Outlets
APC-Perms                               	Vendor-Specific.APC.Perms
APC-Service-Type                        	Vendor-Specific.APC.Service-Type
APC-Username                            	Vendor-Specific.APC.Username
ASN-Firewall-Available                  	Vendor-Specific.ASN.Firewall-Available
ASN-Firewall-Block-Ping                 	Vendor-Specific.ASN.Firewall-Block-Ping
ASN-Firewall-Open                       	Vendor-Specific.ASN.Firewall-Open
ASN-Firewall-State                      	Vendor-Specific.ASN.Firewall-State
ASN-IP-Pool-Name                        	Vendor-Specific.ASN.IP-Pool-Name
ASN-IP-Redirect                         	Vendor-Specific.ASN.IP-Redirect
ASN-Kbps-Down                           	Vendor-Specific.ASN.Kbps-Down
ASN-Kbps-Down-Localmedia                	Vendor-Specific.ASN.Kbps-Down-Localmedia
ASN-Kbps-Up                             	Vendor-Specific.ASN.Kbps-Up
ASN-Pps-Down                            	Vendor-Specific.ASN.Pps-Down
